"订单号";"发货号码";"正在处理中";"发运日期";"状态";"配送日期";"实际转移配送日期";"发货的金额";"货件的货币代码";"商品名称";"SKU";"货号";"二次包装";"加装封条";"您的价格";"商品的货币代码";"已由买家支付";"买家货币代码";"数量";"运费";"关联货件";"商品认购";"商品打折前的价格";"折扣 %";"折扣，卢布";"促销活动";"商品的体积重量，公斤"
"41690948-0171";"41690948-0171-1";"2026-06-19 03:58:36";"2026-06-19 10:00:00";"已签收";"2026-06-24 15:13:16";"2026-06-19 10:49:04";"221.32";"USD";"Новый Garmin Edge 540 велокомпьютер с GPS(Standard Edition) 010-02694-04";"2918882869";"WGMED540ECBL";"不";"不";"221.32";"USD";"15656.00";"RUB";"1";;;;"221.32";"0%";"0.00";;"0.4"
"18763605-0396";"18763605-0396-1";"2026-06-18 19:50:19";"2026-06-19 05:00:00";"已签收";"2026-06-20 17:37:20";"2026-06-19 05:41:22";"62.30";"USD";"Новый realme Buds Air8 Pro Black";"3573978810";"ERBAIR8PEBL";"不";"不";"62.30";"USD";"4481.00";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.2"
"84004448-0085";"84004448-0085-1";"2026-06-18 15:48:15";"2026-06-19 00:30:00";"已签收";"2026-06-20 10:36:33";"2026-06-19 00:50:32";"33.61";"USD";"Новый Xiaomi Smart Band 10 Black";"2488136219";"BXB10GBL";"不";"不";"33.61";"USD";"2725.47";"RUB";"1";;;;"33.61";"0%";"0.00";;"0.1"
"0194006651-0039";"0194006651-0039-1";"2026-06-18 09:23:26";"2026-06-19 11:00:00";"已签收";"2026-06-24 16:51:44";"2026-06-19 04:50:09";"151.64";"USD";"Новый HUAWEI Watch FIT 4 Pro Black";"3071371352";"WWFIT4PGBL";"不";"不";"151.64";"USD";"11525.00";"RUB";"1";;;;"151.64";"0%";"0.00";;"0.3"
"19334150-0063";"19334150-0063-1";"2026-06-18 02:32:34";"2026-06-18 11:00:00";"已签收";"2026-06-21 18:30:00";"2026-06-18 11:10:55";"62.30";"USD";"Новый realme Buds Air8 Pro Black";"3573978810";"ERBAIR8PEBL";"不";"不";"62.30";"USD";"4491.50";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.2"
"57139242-0215";"57139242-0215-1";"2026-06-17 19:48:26";"2026-06-18 10:30:00";"已签收";"2026-06-21 09:24:48";"2026-06-18 10:14:39";"32.38";"USD";"Новый realme Watch 5 Silver";"2753563860";"WRW5RSR";"不";"不";"32.38";"USD";"2727.62";"RUB";"1";;;;"32.38";"0%";"0.00";;"0.2"
"05714261-0754";"05714261-0754-1";"2026-06-17 12:28:43";"2026-06-18 00:30:00";"已签收";"2026-06-22 10:06:30";"2026-06-17 20:37:52";"315.58";"USD";"Новый EU realme 15 Pro 12/512GB Green";"2963848320";"MR15P5GGE12512GN";"不";"不";"315.58";"USD";"24150.50";"RUB";"1";;;;"315.58";"0%";"0.00";;"1.0"
"10698624-0195";"10698624-0195-1";"2026-06-17 09:44:56";"2026-06-18 00:30:00";"已签收";"2026-06-22 11:11:13";"2026-06-18 00:41:27";"188.53";"USD";"Новый Garmin Forerunner 165 White";"1971826756";"WGMF165K46WH";"不";"不";"188.53";"USD";"14573.00";"RUB";"1";;;;"188.53";"0%";"0.00";;"0.2"
"30121120-0766";"30121120-0766-1";"2026-06-17 09:09:45";"2026-06-18 13:30:00";"已签收";"2026-06-21 05:04:42";"2026-06-17 14:13:47";"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"12962.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"60537631-0264";"60537631-0264-1";"2026-06-17 06:15:32";"2026-06-21 12:30:00";"已签收";"2026-06-27 16:36:53";"2026-06-19 16:08:22";"217.22";"USD";"Новый HUAWEI WATCH GT 6 Pro 46mm Black Fluoroelastomer Strap";"3025825907";"WWGT6PG46BL";"不";"不";"217.22";"USD";"16924.00";"RUB";"1";;;;"217.22";"0%";"0.00";;"0.6"
"29542618-0268";"29542618-0268-1";"2026-06-16 21:23:38";"2026-06-17 10:00:00";"已取消";;;"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"12962.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"29542618-0267";"29542618-0267-1";"2026-06-16 21:13:52";"2026-06-17 10:00:00";"已取消";;;"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"12962.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"29542618-0266";"29542618-0266-1";"2026-06-16 21:04:49";"2026-06-17 10:00:00";"已取消";;;"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"12962.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"29542618-0265";"29542618-0265-1";"2026-06-16 20:59:03";"2026-06-17 10:00:00";"已取消";;;"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"13572.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"0198645245-0377";"0198645245-0377-1";"2026-06-16 19:06:25";"2026-06-17 02:00:00";"已取消";;;"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"13019.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"31810536-0519";"31810536-0519-3";"2026-06-15 16:41:19";"2026-06-16 10:30:00";"已签收";"2026-06-18 14:53:30";"2026-06-16 09:14:41";"184.43";"USD";"Новый realme C85 Pro 8/256GB Green";"3075834010";"MRC85P4GR8256GN";"不";"不";"184.43";"USD";"14204.00";"RUB";"1";;;;"184.43";"0%";"0.00";;"0.6"
"45270994-0183";"45270994-0183-1";"2026-06-15 15:24:28";"2026-06-16 03:30:00";"已签收";"2026-06-18 07:28:55";"2026-06-16 03:29:37";"110.66";"USD";"Новый HUAWEI FreeBuds Pro 4 White";"1816788351";"EWFBP4KWH";"不";"不";"110.66";"USD";"8176.50";"RUB";"1";;;;"110.66";"0%";"0.00";;"0.2"
"56065727-0131";"56065727-0131-1";"2026-06-15 09:56:12";;"已取消";;"2026-06-15 19:25:47";"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"13010.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"30581279-0252";"30581279-0252-1";"2026-06-13 20:08:18";"2026-06-14 00:30:00";"已签收";"2026-06-15 17:27:21";"2026-06-14 00:07:09";"213.12";"USD";"Новый HUAWEI WATCH GT 6 Pro 46mm Black Fluoroelastomer Strap";"3025825907";"WWGT6PG46BL";"不";"不";"213.12";"USD";"16554.50";"RUB";"1";;;;"213.12";"0%";"0.00";;"0.6"
"15731801-1499";"15731801-1499-1";"2026-06-13 19:17:42";"2026-06-14 11:00:00";"已取消";;;"151.64";"USD";"Новый HUAWEI Watch FIT 4 Pro Black";"3071371352";"WWFIT4PGBL";"不";"不";"151.64";"USD";"11516.00";"RUB";"1";;;;"151.64";"0%";"0.00";;"0.3"
"0121618711-0015";"0121618711-0015-1";"2026-06-13 13:05:38";"2026-06-14 04:00:00";"已签收";"2026-06-15 16:29:30";"2026-06-14 01:00:30";"62.30";"USD";"Новый realme Buds Air8 Pro White";"3573961955";"ERBAIR8PEWH";"不";"不";"62.30";"USD";"4724.94";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.2"
"60934702-0176";"60934702-0176-1";"2026-06-13 11:29:54";"2026-06-14 04:30:00";"已取消";;;"213.12";"USD";"Новый HUAWEI WATCH GT 6 Pro 46mm Black Fluoroelastomer Strap";"3025825907";"WWGT6PG46BL";"不";"不";"213.12";"USD";"16567.00";"RUB";"1";;;;"213.12";"0%";"0.00";;"0.6"
"23507725-0240";"23507725-0240-1";"2026-06-13 11:25:37";"2026-06-14 00:30:00";"已签收";"2026-06-16 18:14:09";"2026-06-13 23:15:46";"49.18";"USD";"Новый realme Buds Air7 Pro Red";"2029850324";"ERAIR7PGRD";"不";"不";"49.18";"USD";"3977.38";"RUB";"1";;;;"49.18";"0%";"0.00";;"0.2"
"31992194-0096";"31992194-0096-1";"2026-06-13 09:32:28";"2026-06-13 18:30:00";"已签收";"2026-06-14 13:16:14";"2026-06-13 19:38:31";"47.54";"USD";"Новый realme Buds Air7 Pro Green";"2087404991";"ERAIR7PGGN";"不";"不";"47.54";"USD";"3869.76";"RUB";"1";;;;"47.54";"0%";"0.00";;"0.3"
"0154473780-0150";"0154473780-0150-1";"2026-06-13 04:35:18";"2026-06-14 07:00:00";"已签收";"2026-06-17 07:28:17";"2026-06-14 07:28:07";"442.64";"USD";"Новый realme 16 Pro+ 12/512GB Gold";"3395733278";"MR16PP5GR12512GD";"不";"不";"442.64";"USD";"34678.00";"RUB";"1";;;;"442.64";"0%";"0.00";;"1.3"
"0211739891-0053";"0211739891-0053-1";"2026-06-12 13:02:11";"2026-06-13 08:00:00";"已签收";"2026-06-17 08:08:30";"2026-06-13 04:59:39";"147.55";"USD";"Новый HUAWEI FreeClip 2 Blue";"3668264174";"EWFC2GBU";"不";"不";"147.55";"USD";"10157.00";"RUB";"1";;;;"147.55";"0%";"0.00";;"0.2"
"0152681637-0307";"0152681637-0307-1";"2026-06-12 12:39:52";"2026-06-13 03:00:00";"已取消";;"2026-06-12 17:22:24";"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"12997.50";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"47960305-2872";"47960305-2872-1";"2026-06-12 09:31:38";"2026-06-13 08:00:00";"已签收";"2026-06-30 09:05:56";"2026-06-13 03:53:07";"250.01";"USD";"Новый Garmin Vivoactive 6 White";"2442076463";"WGMVVAT6KWH";"不";"不";"250.01";"USD";"19478.00";"RUB";"1";;;;"250.01";"0%";"0.00";;"1.2"
"17959819-0500";"17959819-0500-1";"2026-06-11 18:34:52";"2026-06-12 00:30:00";"已签收";"2026-06-17 06:33:05";"2026-06-12 01:01:29";"151.64";"USD";"Новый HUAWEI Watch FIT 4 Pro Green";"3075997003";"WWFIT4PGGN";"不";"不";"151.64";"USD";"11340.00";"RUB";"1";;;;"151.64";"0%";"0.00";;"0.5"
"86270420-0787";"86270420-0787-1";"2026-06-11 08:28:19";"2026-06-12 00:30:00";"已签收";"2026-06-27 08:59:06";"2026-06-12 00:29:38";"315.59";"USD";"Новый EU realme 15 Pro 12/512GB Green";"2963848320";"MR15P5GGE12512GN";"不";"不";"315.59";"USD";"24008.00";"RUB";"1";;;;"315.59";"0%";"0.00";;"1.0"
"39466540-0209";"39466540-0209-1";"2026-06-11 04:36:30";"2026-06-11 12:30:00";"已签收";"2026-06-17 12:23:54";"2026-06-11 11:33:57";"62.30";"USD";"Новый realme Buds Air8 Pro Black";"3573978810";"ERBAIR8PEBL";"不";"不";"62.30";"USD";"4478.10";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.2"
"64799943-0172";"64799943-0172-1";"2026-06-10 19:45:59";"2026-06-11 03:00:00";"已签收";"2026-06-15 10:09:30";"2026-06-11 01:57:24";"290.99";"USD";"Новый EU realme 15 Pro 12/256GB Silver";"2973157776";"MR15P5GGE12256SR";"不";"不";"290.99";"USD";"22208.00";"RUB";"1";;;;"290.99";"0%";"0.00";;"1.0"
"42590937-0354";"42590937-0354-1";"2026-06-10 13:44:32";"2026-06-11 17:00:00";"已签收";"2026-06-12 18:33:05";"2026-06-11 18:02:23";"41.80";"USD";"Новый realme Buds Clip Gold";"3035719507";"ERBCLIPGGD";"不";"不";"41.80";"USD";"3340.63";"RUB";"1";;;;"41.80";"0%";"0.00";;"0.2"
"06266489-1187";"06266489-1187-1";"2026-06-10 12:35:12";"2026-06-11 04:00:00";"已取消";;"2026-06-11 07:17:56";"110.66";"USD";"Новый HUAWEI FreeBuds Pro 4 White";"1816788351";"EWFBP4KWH";"不";"不";"110.66";"USD";"8096.00";"RUB";"1";;;;"110.66";"0%";"0.00";;"0.2"
"86270420-0765";"86270420-0765-1";"2026-06-10 08:38:17";"2026-06-11 14:30:00";"已取消";;"2026-06-10 18:00:16";"315.59";"USD";"Новый EU realme 15 Pro 12/512GB Green";"2963848320";"MR15P5GGE12512GN";"不";"不";"315.59";"USD";"24106.00";"RUB";"1";;;;"315.59";"0%";"0.00";;"1.0"
"0139621003-0142";"0139621003-0142-1";"2026-06-10 08:14:15";"2026-06-10 15:00:00";"已签收";"2026-06-14 12:37:52";"2026-06-10 15:31:33";"188.53";"USD";"Новый Garmin Forerunner 165 Black";"1971827174";"WGMF165K46BL";"不";"不";"188.53";"USD";"14466.00";"RUB";"1";;;;"188.53";"0%";"0.00";;"0.2"
"0103163172-0316";"0103163172-0316-1";"2026-06-10 05:15:38";"2026-06-10 12:30:00";"已签收";"2026-06-18 13:50:52";"2026-06-10 13:06:25";"168.04";"USD";"Новый Garmin Forerunner 255 Grey";"2029458188";"WGMF255CGR";"不";"不";"168.04";"USD";"12822.00";"RUB";"1";;;;"168.04";"0%";"0.00";;"0.5"
"86475950-0516";"86475950-0516-1";"2026-06-09 15:03:09";"2026-06-10 00:30:00";"已取消";;;"237.71";"USD";"Новый HUAWEI WATCH GT 6 Pro 46mm Black Fluoroelastomer Strap";"3025825907";"WWGT6PG46BL";"不";"不";"237.71";"USD";"18560.00";"RUB";"1";;;;"237.71";"0%";"0.00";;"0.6"
"50651357-0331";"50651357-0331-1";"2026-06-09 13:37:54";"2026-06-10 05:00:00";"已签收";"2026-06-12 07:13:09";"2026-06-10 02:57:23";"151.64";"USD";"Новый HUAWEI Watch FIT 4 Pro Blue";"3075996223";"WWFIT4PGBU";"不";"不";"151.64";"USD";"11545.00";"RUB";"1";;;;"151.64";"0%";"0.00";;"1.0"
"23870985-0461";"23870985-0461-1";"2026-06-09 06:17:08";"2026-06-10 00:30:00";"已签收";"2026-06-11 14:47:20";"2026-06-09 12:45:50";"62.30";"USD";"Новый realme Watch S5 Beige";"4015708408";"WRWAHS5RWH";"不";"不";"62.30";"USD";"4610.85";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.4"
"28106111-0823";"28106111-0823-1";"2026-06-09 06:06:23";"2026-06-10 08:30:00";"已签收";"2026-06-14 15:00:12";"2026-06-10 04:41:54";"41.80";"USD";"Новый realme Buds Clip Black";"3035719193";"ERBCLIPGBL";"不";"不";"41.80";"USD";"3391.43";"RUB";"1";;;;"41.80";"0%";"0.00";;"0.2"
"0133611896-0021";"0133611896-0021-1";"2026-06-09 03:41:59";"2026-06-09 17:30:00";"已签收";"2026-06-10 14:36:19";"2026-06-09 12:05:35";"237.71";"USD";"Новый HUAWEI WATCH GT 6 Pro 46mm Black Fluoroelastomer Strap";"3025825907";"WWGT6PG46BL";"不";"不";"237.71";"USD";"18560.00";"RUB";"1";;;;"237.71";"0%";"0.00";;"0.6"
"18137952-0112";"18137952-0112-1";"2026-06-08 07:25:04";"2026-06-08 20:00:00";"已签收";"2026-06-11 13:22:47";"2026-06-08 18:25:48";"188.53";"USD";"Новый Garmin Forerunner 165 Black";"1971827174";"WGMF165K46BL";"不";"不";"188.53";"USD";"14765.50";"RUB";"1";;;;"188.53";"0%";"0.00";;"0.2"
"03802323-0131";"03802323-0131-1";"2026-06-07 20:21:09";"2026-06-09 09:30:00";"已签收";"2026-06-11 13:46:22";"2026-06-08 10:11:32";"188.53";"USD";"Новый Garmin Forerunner 165 White";"1971826756";"WGMF165K46WH";"不";"不";"188.53";"USD";"14778.00";"RUB";"1";;;;"188.53";"0%";"0.00";;"0.2"
"0206844374-0348";"0206844374-0348-1";"2026-06-06 14:40:59";"2026-06-07 00:30:00";"已签收";"2026-06-11 11:01:03";"2026-06-06 23:53:51";"315.58";"USD";"Новый EU realme 15 Pro 12/512GB Green";"2963848320";"MR15P5GGE12512GN";"不";"不";"315.58";"USD";"24565.00";"RUB";"1";;;;"315.58";"0%";"0.00";;"1.0"
"0171733261-0054";"0171733261-0054-1";"2026-06-06 12:09:10";"2026-06-07 04:30:00";"已签收";"2026-06-09 14:31:48";"2026-06-07 02:26:26";"38.53";"USD";"Новый realme Buds Air8 Grey";"3076167903";"ERBAIR8GGR";"不";"不";"38.53";"USD";"3176.19";"RUB";"1";;;;"38.53";"0%";"0.00";;"0.2"
"0208937150-0215";"0208937150-0215-1";"2026-06-05 20:35:23";"2026-06-06 11:00:00";"已签收";"2026-06-08 15:45:33";"2026-06-06 11:12:12";"38.12";"USD";"Новый realme Buds Air8 Purple";"3076061567";"ERBAIR8RPP";"不";"不";"38.12";"USD";"3201.90";"RUB";"1";;;;"38.12";"0%";"0.00";;"0.2"
"76706800-0249";"76706800-0249-1";"2026-06-05 02:00:06";"2026-06-05 08:00:00";"已签收";"2026-06-09 12:30:54";"2026-06-05 08:55:18";"62.30";"USD";"Новый realme Buds Air8 Pro Black";"3573978810";"ERBAIR8PEBL";"不";"不";"62.30";"USD";"4641.33";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.2"
"87693459-0714";"87693459-0714-1";"2026-06-04 10:43:41";"2026-06-05 01:00:00";"已签收";"2026-06-05 14:39:08";"2026-06-04 22:59:59";"114.76";"USD";"Новый HUAWEI FreeBuds Pro 4 White";"1816788351";"EWFBP4KWH";"不";"不";"114.76";"USD";"8517.50";"RUB";"1";;;;"114.76";"0%";"0.00";;"0.2"
"18744334-0239";"18744334-0239-1";"2026-06-04 04:25:15";"2026-06-05 07:00:00";"已签收";"2026-06-07 15:01:02";"2026-06-04 18:15:08";"143.45";"USD";"Новый HUAWEI Watch FIT 4 Pro Blue";"3075996223";"WWFIT4PGBU";"不";"不";"143.45";"USD";"11048.00";"RUB";"1";;;;"143.45";"0%";"0.00";;"1.0"
"34191688-0365";"34191688-0365-1";"2026-06-02 10:33:31";"2026-06-03 10:00:00";"已签收";"2026-06-07 17:30:25";"2026-06-02 20:06:36";"114.76";"USD";"Новый HUAWEI FreeBuds Pro 4 White";"1816788351";"EWFBP4KWH";"不";"不";"114.76";"USD";"8271.00";"RUB";"1";;;;"114.76";"0%";"0.00";;"0.2"
"0128245813-0637";"0128245813-0637-1";"2026-06-01 18:47:21";"2026-06-02 01:00:00";"已签收";"2026-06-08 13:39:12";"2026-06-02 00:36:33";"38.12";"USD";"Новый realme Buds Air8 Purple";"3076061567";"ERBAIR8RPP";"不";"不";"38.12";"USD";"3049.52";"RUB";"1";;;;"38.12";"0%";"0.00";;"0.2"
"66947661-0217";"66947661-0217-1";"2026-06-01 12:23:24";"2026-06-02 01:00:00";"已签收";"2026-06-02 15:58:48";"2026-06-01 17:47:42";"114.76";"USD";"Новый HUAWEI FreeBuds Pro 4 White";"1816788351";"EWFBP4KWH";"不";"不";"114.76";"USD";"8122.50";"RUB";"1";;;;"114.76";"0%";"0.00";;"0.2"
"30432536-0468";"30432536-0468-1";"2026-06-01 08:57:19";"2026-06-02 07:00:00";"已签收";"2026-06-08 17:01:13";"2026-06-02 02:30:51";"196.73";"USD";"Новый Garmin Forerunner 165 White";"1971826756";"WGMF165K46WH";"不";"不";"196.73";"USD";"15418.00";"RUB";"1";;;;"196.73";"0%";"0.00";;"0.2"
"0134049215-0041";"0134049215-0041-1";"2026-06-01 07:31:33";"2026-06-01 12:30:00";"已签收";"2026-06-05 09:26:52";"2026-06-01 12:03:50";"143.45";"USD";"Новый HUAWEI Watch FIT 4 Pro Black";"3071371352";"WWFIT4PGBL";"不";"不";"143.45";"USD";"10544.00";"RUB";"1";;;;"143.45";"0%";"0.00";;"0.3"
"31164171-0344";"31164171-0344-1";"2026-05-31 16:53:59";"2026-06-01 00:00:00";"已签收";"2026-06-01 15:43:14";"2026-05-31 21:56:31";"151.64";"USD";"Новый HUAWEI FreeClip 2 Black";"3668254141";"EWFC2GBL";"不";"不";"151.64";"USD";"9954.00";"RUB";"1";;;;"161.64";"6%";"10.00";"Эластичный бустинг. Без ограничения срока действия";"0.2"
"49344264-0055";"49344264-0055-1";"2026-05-31 16:17:55";"2026-06-01 00:00:00";"已签收";"2026-06-02 12:20:12";"2026-06-01 00:28:05";"40.98";"USD";"Новый Nokia 235 blue - NO Keyboard";"1596505299";"MN2354GBUHESEU";"不";"不";"40.98";"USD";"4297.14";"RUB";"1";;;;"40.98";"0%";"0.00";;"0.3"
"0175033722-0088";"0175033722-0088-1";"2026-05-30 15:07:16";"2026-05-31 13:30:00";"已签收";"2026-06-15 03:57:01";"2026-05-31 12:43:44";"245.91";"USD";"Новый HUAWEI WATCH GT 6 Pro 46mm Black Fluoroelastomer Strap";"3025825907";"WWGT6PG46BL";"不";"不";"245.91";"USD";"19183.00";"RUB";"1";;;;"245.91";"0%";"0.00";;"0.6"
"15670664-0589";"15670664-0589-1";"2026-05-29 10:03:52";"2026-05-29 15:00:00";"已签收";"2026-05-31 15:21:52";"2026-05-29 15:37:11";"62.30";"USD";"Новый realme Buds Air8 Pro Black";"3573961824";"ERBAIR8PEBL-1";"不";"不";"62.30";"USD";"4400.57";"RUB";"1";;;;"62.30";"0%";"0.00";;"0.2"
"66437987-0137";"66437987-0137-2";"2026-05-28 04:05:28";"2026-05-31 10:00:00";"已取消";;;"114.76";"USD";"Новый HUAWEI FreeBuds Pro 4 White";"1816788351";"EWFBP4KWH";"不";"不";"114.76";"USD";"8214.00";"RUB";"1";;;;"114.76";"0%";"0.00";;"0.2"
"0121590279-0361";"0121590279-0361-1";"2026-05-26 13:28:32";"2026-05-27 11:00:00";"已签收";"2026-06-09 07:05:13";"2026-05-26 22:05:40";"151.64";"USD";"Новый HUAWEI FreeClip 2 Black";"3668254141";"EWFC2GBL";"不";"不";"151.64";"USD";"11089.00";"RUB";"1";;;;"161.64";"6%";"10.00";"Эластичный бустинг. Без ограничения срока действия";"0.2"
"0114005299-0008";"0114005299-0008-1";"2026-05-26 12:16:30";"2026-05-27 07:00:00";"已取消";;"2026-05-27 03:29:46";"163.12";"USD";"Новый HUAWEI WATCH GT 6 46mm Black Fluoroelastomer Strap";"3075996858";"WWGT6G46BL";"不";"不";"163.12";"USD";"12156.00";"RUB";"1";;;;"163.12";"0%";"0.00";;"0.4"
"0204061514-0064";"0204061514-0064-1";"2026-05-26 10:20:04";"2026-05-27 11:00:00";"已取消";;"2026-05-26 22:10:49";"151.64";"USD";"Новый HUAWEI FreeClip 2 Black";"3668254141";"EWFC2GBL";"不";"不";"151.64";"USD";"10219.00";"RUB";"1";;;;"161.64";"6%";"10.00";"Эластичный бустинг. Без ограничения срока действия";"0.2"
"0162560850-0241";"0162560850-0241-1";"2026-05-26 09:36:41";"2026-05-27 02:00:00";"已取消";;;"151.64";"USD";"Новый HUAWEI FreeClip 2 Black";"3668254141";"EWFC2GBL";"不";"不";"151.64";"USD";"11039.50";"RUB";"1";;;;"161.64";"6%";"10.00";"Эластичный бустинг. Без ограничения срока действия";"0.2"
"45597414-0028";"45597414-0028-1";"2026-05-23 19:55:24";"2026-05-24 00:00:00";"已取消";;"2026-05-24 00:25:14";"40.98";"USD";"Новый Nokia 235 blue - NO Keyboard";"1596505299";"MN2354GBUHESEU";"不";"不";"40.98";"USD";"3261.61";"RUB";"1";;;;"40.98";"0%";"0.00";;"0.3"
"40964845-0448";"40964845-0448-1";"2026-05-21 13:47:59";"2026-05-22 14:30:00";"已签收";"2026-05-28 15:45:29";"2026-05-22 13:56:01";"180.33";"USD";"Новый Garmin Forerunner 165 White";"1971826756";"WGMF165K46WH";"不";"不";"180.33";"USD";"13532.00";"RUB";"1";;;;"180.33";"0%";"0.00";;"0.2"
